_id,CIVIC_CENTRE,MARRIAGE_LICENSES,TIME_PERIOD
6663,ET,268,2015-06
6664,NY,386,2015-06
6665,SC,346,2015-06
6666,TO,927,2015-06
6667,ET,317,2015-07
6668,NY,387,2015-07
6669,SC,390,2015-07
6670,TO,1090,2015-07
6671,ET,264,2015-08
6672,NY,336,2015-08
6673,SC,325,2015-08
6674,TO,930,2015-08
6675,ET,174,2015-09
6676,NY,251,2015-09
6677,SC,253,2015-09
6678,TO,713,2015-09
6679,ET,135,2015-10
6680,NY,211,2015-10
6681,SC,186,2015-10
6682,TO,478,2015-10
6683,ET,91,2015-11
6684,NY,176,2015-11
6685,SC,149,2015-11
6686,TO,342,2015-11
6687,ET,104,2015-12
6688,NY,169,2015-12
6689,SC,144,2015-12
6690,TO,335,2015-12
6691,ET,92,2016-01
6692,NY,156,2016-01
6693,SC,131,2016-01
6694,TO,346,2016-01
6695,ET,123,2016-02
6696,NY,170,2016-02
6697,SC,173,2016-02
6698,TO,364,2016-02
6699,ET,155,2016-03
6700,NY,197,2016-03
6701,SC,204,2016-03
6702,TO,517,2016-03
6703,ET,197,2016-04
6704,NY,257,2016-04
6705,SC,246,2016-04
6706,TO,695,2016-04
6707,ET,247,2016-05
6708,NY,326,2016-05
6709,SC,306,2016-05
6710,TO,895,2016-05
6711,ET,255,2016-06
6712,NY,344,2016-06
6713,SC,341,2016-06
6714,TO,1071,2016-06
6715,ET,274,2016-07
6716,NY,384,2016-07
6717,SC,348,2016-07
6718,TO,1041,2016-07
6719,ET,296,2016-08
6720,NY,358,2016-08
6721,SC,333,2016-08
6722,TO,1072,2016-08
6723,ET,228,2016-09
6724,NY,265,2016-09
6725,SC,207,2016-09
6726,TO,656,2016-09
6727,ET,139,2016-10
6728,NY,187,2016-10
6729,SC,171,2016-10
6730,TO,489,2016-10
6731,ET,82,2016-11
6732,NY,148,2016-11
6733,SC,135,2016-11
6734,TO,388,2016-11
6735,ET,96,2016-12
6736,NY,164,2016-12
6737,SC,125,2016-12
6738,TO,362,2016-12
6739,ET,102,2017-01
6740,NY,146,2017-01
6741,SC,147,2017-01
6742,TO,347,2017-01
6743,ET,104,2017-02
6744,NY,170,2017-02
6745,SC,139,2017-02
6746,TO,357,2017-02
6747,ET,183,2017-03
6748,NY,237,2017-03
6749,SC,223,2017-03
6750,TO,608,2017-03
6751,ET,173,2017-04
6752,NY,276,2017-04
6753,SC,222,2017-04
6754,TO,627,2017-04
6755,ET,234,2017-05
6756,NY,323,2017-05
6757,SC,323,2017-05
6758,TO,894,2017-05
6759,ET,250,2017-06
6760,NY,350,2017-06
6761,SC,346,2017-06
6762,TO,943,2017-06
6763,ET,287,2017-07
6764,NY,367,2017-07
6765,SC,320,2017-07
6766,TO,971,2017-07
6767,ET,324,2017-08
6768,NY,344,2017-08
6769,SC,312,2017-08
6770,TO,1066,2017-08
6771,ET,207,2017-09
6772,NY,268,2017-09
6773,SC,233,2017-09
6774,TO,729,2017-09
6775,ET,144,2017-10
6776,NY,219,2017-10
6777,SC,194,2017-10
6778,TO,552,2017-10
6779,ET,98,2017-11
6780,NY,185,2017-11
6781,SC,160,2017-11
6782,TO,393,2017-11
6783,ET,114,2017-12
6784,NY,156,2017-12
6785,SC,132,2017-12
6786,TO,385,2017-12
6787,ET,128,2018-01
6788,NY,156,2018-01
6789,SC,156,2018-01
6790,TO,375,2018-01
6791,ET,145,2018-02
6792,NY,182,2018-02
6793,SC,149,2018-02
6794,TO,344,2018-02
6795,ET,177,2018-03
6796,NY,235,2018-03
6797,SC,187,2018-03
6798,TO,538,2018-03
6799,ET,188,2018-04
6800,NY,238,2018-04
6801,SC,239,2018-04
6802,TO,657,2018-04
6803,ET,229,2018-05
6804,NY,337,2018-05
6805,SC,302,2018-05
6806,TO,880,2018-05
6807,ET,279,2018-06
6808,NY,337,2018-06
6809,SC,338,2018-06
6810,TO,964,2018-06
6811,ET,324,2018-07
6812,NY,408,2018-07
6813,SC,347,2018-07
6814,TO,1090,2018-07
6815,ET,365,2018-08
6816,NY,323,2018-08
6817,SC,392,2018-08
6818,TO,1117,2018-08
6819,ET,209,2018-09
6820,NY,256,2018-09
6821,SC,216,2018-09
6822,TO,719,2018-09
6823,ET,187,2018-10
6824,NY,227,2018-10
6825,SC,186,2018-10
6826,TO,582,2018-10
6827,ET,140,2018-11
6828,NY,199,2018-11
6829,SC,169,2018-11
6830,TO,397,2018-11
6831,ET,108,2018-12
6832,NY,157,2018-12
6833,SC,123,2018-12
6834,TO,329,2018-12
6835,ET,123,2019-01
6836,NY,162,2019-01
6837,SC,151,2019-01
6838,TO,341,2019-01
6839,ET,143,2019-02
6840,NY,190,2019-02
6841,SC,158,2019-02
6842,TO,382,2019-02
6843,ET,170,2019-03
6844,NY,236,2019-03
6845,SC,240,2019-03
6846,TO,576,2019-03
6847,ET,193,2019-04
6848,NY,290,2019-04
6849,SC,237,2019-04
6850,TO,724,2019-04
6851,ET,235,2019-05
6852,NY,336,2019-05
6853,SC,285,2019-05
6854,TO,879,2019-05
6855,ET,242,2019-06
6856,NY,315,2019-06
6857,SC,280,2019-06
6858,TO,901,2019-06
6859,ET,308,2019-07
6860,NY,407,2019-07
6861,SC,323,2019-07
6862,TO,1079,2019-07
6863,ET,281,2019-08
6864,NY,384,2019-08
6865,SC,329,2019-08
6866,TO,1011,2019-08
6867,ET,220,2019-09
6868,NY,247,2019-09
